Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10,,B1
2019-07-15,-0.006,0.004,0.002,0.003,0.001,-0.004,0.002,0.003,-0.009,0,,0
2019-07-16,-0.002,-0.006,0,-0.001,0.002,0.006,-0.005,-0.009,-0.011,-0.003,,-0.003
2019-07-17,-0.009,0.004,-0.001,-0.01,-0.009,-0.021,0,-0.003,-0.011,-0.007,,-0.007
2019-07-18,0.008,0.009,0.007,-0.001,0.004,0.002,0.006,0.007,0,0.005,,0.004
2019-07-19,-0.004,-0.015,-0.006,-0.007,0.002,0.005,-0.01,-0.004,0.005,-0.004,,-0.006
2019-07-22,0.002,-0.002,-0.006,0.001,-0.003,0.001,-0.002,0.012,0.005,0.001,,0.002
2019-07-23,0.01,-0.006,0.007,0.007,0.021,0.013,0.006,0.006,0.003,0.007,,0.007
2019-07-24,0.01,0.001,-0.007,0.005,-0.001,0.004,0.001,0.008,0.004,0.003,,0.005
2019-07-25,-0.007,-0.003,0.001,-0.006,-0.007,-0.002,-0.005,-0.004,-0.011,-0.005,,-0.005
2019-07-26,0.011,0.004,0.011,0.005,0.001,-0.002,0.004,0.002,-0.005,0.003,,0.007
2019-07-29,-0.008,0.005,0.002,-0.005,-0.003,-0.002,0.004,-0.001,-0.004,-0.001,,-0.002
2019-07-30,-0.003,-0.008,0.003,-0.007,0.007,0.004,-0.004,-0.006,0.011,0,,-0.002
2019-07-31,-0.005,-0.005,-0.02,-0.011,-0.015,-0.011,-0.01,-0.015,-0.003,-0.011,,-0.011
2019-08-01,-0.023,0.01,-0.004,-0.014,-0.006,-0.019,0.001,-0.005,-0.023,-0.009,,-0.009
2019-08-02,0,0,0,-0.008,-0.012,-0.006,-0.002,-0.016,-0.014,-0.007,,-0.008
2019-08-05,-0.033,-0.014,-0.026,-0.027,-0.019,-0.028,-0.024,-0.042,-0.03,-0.027,,-0.03
2019-08-06,0.016,0.012,0.009,0.015,0.001,0.015,0.013,0.017,-0.001,0.011,,0.014
2019-08-07,-0.013,0.002,0.012,0.004,0.014,-0.001,0,0.006,-0.008,0.002,,0.001
2019-08-08,0.019,0.01,0.013,0.019,0.019,0.017,0.013,0.025,0.029,0.018,,0.02
2019-08-09,-0.003,0.001,-0.006,-0.009,-0.008,-0.008,0.001,-0.011,-0.011,-0.006,,-0.007
2019-08-12,-0.019,-0.002,-0.007,-0.015,-0.016,-0.014,-0.01,-0.013,-0.012,-0.012,,-0.012
2019-08-13,0.012,0.001,0.011,0.016,0.011,0.012,0.013,0.025,0.009,0.012,,0.016
2019-08-14,-0.037,-0.008,-0.016,-0.031,-0.032,-0.031,-0.028,-0.031,-0.039,-0.028,,-0.03
2019-08-15,0.005,0.013,0.015,-0.002,0,-0.001,0.003,-0.002,-0.006,0.003,,0.003
2019-08-16,0.018,0.005,0.011,0.011,0.018,0.019,0.012,0.019,0.013,0.014,,0.015
2019-08-19,0.01,0.006,0.01,0.013,0.008,0.009,0.01,0.015,0.022,0.011,,0.012
2019-08-20,-0.013,-0.002,-0.011,0,-0.012,-0.006,-0.009,-0.005,-0.008,-0.007,,-0.008
2019-08-21,0.005,0.007,0.003,0.019,0.005,0.006,0.007,0.012,0.006,0.008,,0.008
2019-08-22,0.007,0.001,0.005,0,-0.007,0.001,-0.005,-0.002,-0.004,0,,0
2019-08-23,-0.025,-0.011,-0.017,-0.027,-0.024,-0.027,-0.023,-0.033,-0.034,-0.024,,-0.026
2019-08-26,0.01,0.012,0.012,0.01,0.003,0.007,0.01,0.014,0.004,0.009,,0.011
2019-08-27,-0.006,0.002,-0.003,-0.005,0.001,-0.005,-0.006,-0.002,-0.006,-0.003,,-0.004
2019-08-28,0.009,-0.003,0.01,0.012,0.008,0.012,0.007,0.001,0.014,0.008,,0.007
2019-08-29,0.015,0.007,0,0.015,0.013,0.017,0.008,0.017,0.015,0.012,,0.013
2019-08-30,0.003,0,-0.001,-0.006,0.007,0.004,0.001,0,0,0.001,,0
2019-09-03,-0.01,0.018,0.006,-0.004,-0.008,-0.014,-0.006,-0.012,-0.005,-0.004,,-0.006
2019-09-04,0.01,0.001,0.009,0.01,0.012,0.013,0.001,0.017,0.014,0.01,,0.011
2019-09-05,0.02,-0.011,-0.006,0.019,0.002,0.018,0.01,0.021,0.012,0.009,,0.013
2019-09-06,0,-0.004,0.003,0.002,0.004,0.002,0.003,-0.001,0.005,0.002,,0.001
2019-09-09,0.015,-0.005,-0.002,0.004,-0.005,0.003,-0.009,-0.007,0.02,0.001,,0.001
2019-09-10,0.004,0.001,-0.006,-0.004,0.01,0.009,0.003,-0.005,0.012,0.003,,0
2019-09-11,0.006,0.01,0.004,0.002,0.01,0.009,0.01,0.01,0.001,0.007,,0.007
2019-09-12,0.005,0.002,0.004,0.005,0.008,0.001,0,0.005,-0.006,0.003,,0.003
2019-09-13,0.008,-0.006,-0.006,-0.002,0.011,0.005,-0.001,-0.007,0.008,0.001,,-0.001
2019-09-16,-0.004,0.001,-0.01,-0.013,-0.016,-0.001,-0.002,-0.002,0.034,-0.002,,-0.003
2019-09-17,0.001,0.009,0.005,0.006,0.008,-0.001,0.002,0.004,-0.014,0.002,,0.003
2019-09-18,0.004,0.004,0.002,0,0.001,-0.002,0,0,-0.005,0,,0.001
2019-09-19,-0.005,0.005,0,-0.003,0.002,-0.005,0.005,0.002,-0.003,0,,0
2019-09-20,-0.006,0.004,-0.003,-0.011,-0.002,-0.006,0.006,-0.012,0.001,-0.003,,-0.005
2019-09-23,0.002,0,0.004,0.003,-0.002,-0.002,-0.005,0.003,0,0,,0
2019-09-24,-0.01,0.012,0.004,-0.011,-0.009,-0.006,-0.009,-0.01,-0.016,-0.006,,-0.008
2019-09-25,0.008,-0.001,0.001,0.009,0.005,0.006,-0.005,0.012,0.002,0.004,,0.006
2019-09-26,-0.005,0.005,0.006,-0.004,-0.002,0.001,-0.006,0.001,-0.013,-0.002,,-0.002
2019-09-27,0.004,-0.004,-0.001,-0.003,-0.003,-0.004,-0.004,-0.013,0,-0.003,,-0.005
2019-09-30,-0.002,0.001,0.005,0.009,0.008,0.001,0.009,0.011,-0.007,0.004,,0.005
2019-10-01,-0.021,-0.002,-0.003,-0.008,-0.024,-0.024,-0.01,-0.009,-0.023,-0.014,,-0.012
2019-10-02,-0.02,-0.013,-0.02,-0.018,-0.018,-0.019,-0.015,-0.019,-0.025,-0.019,,-0.018
2019-10-03,0.004,0.002,0.007,0.005,0.004,0.007,0.009,0.012,0.011,0.007,,0.008
2019-10-04,0.019,0.014,0.016,0.009,0.005,0.01,0.016,0.017,0.006,0.012,,0.014
2019-10-07,-0.005,-0.004,-0.008,-0.004,-0.004,-0.005,-0.003,-0.004,-0.009,-0.005,,-0.004
2019-10-08,-0.02,-0.009,-0.01,-0.011,-0.017,-0.015,-0.019,-0.018,-0.017,-0.015,,-0.016
2019-10-09,0.009,0.005,0.008,0.009,0.011,0.009,0.007,0.015,0.009,0.009,,0.009
2019-10-10,0.01,-0.001,0.002,0.007,0.009,0.009,0.005,0.007,0.013,0.007,,0.007
2019-10-11,0.012,-0.004,-0.001,0.011,0.019,0.019,0.008,0.014,0.013,0.01,,0.01
2019-10-14,0.001,-0.006,-0.005,0,-0.007,-0.002,0,-0.001,-0.001,-0.002,,-0.001
2019-10-15,0.014,-0.003,-0.004,0.009,0.007,0.008,0.018,0.011,0.004,0.007,,0.01
2019-10-16,-0.002,0.002,0.001,0.004,0.002,-0.001,-0.001,-0.007,-0.014,-0.002,,-0.002
2019-10-17,0.001,0.003,0.005,0.003,0.003,0.005,0.007,-0.002,0.001,0.003,,0.003
2019-10-18,0.002,0.003,0.002,-0.002,-0.002,-0.009,-0.004,-0.01,-0.005,-0.003,,-0.004
2019-10-21,0.014,0.004,0.003,0.004,-0.003,0.006,-0.001,0.011,0.018,0.006,,0.007
2019-10-22,-0.003,0.004,0,-0.006,-0.004,0.008,0.002,-0.013,0.013,0,,-0.003
2019-10-23,0.004,0.004,0.005,-0.005,0.006,0,0.006,0.001,0.008,0.003,,0.003
2019-10-24,-0.001,0.003,0.003,0,0.003,0.001,-0.005,0.015,-0.004,0.002,,0.002
2019-10-25,0.005,-0.01,-0.006,-0.001,0.011,0.006,0.001,0.012,0.008,0.003,,0.004
2019-10-28,0.005,-0.014,-0.002,0.003,0.003,0.003,0.01,0.013,-0.006,0.002,,0.006
2019-10-29,0.002,0.001,0,-0.006,0.006,0.003,0.014,-0.009,0.004,0.002,,0
2019-10-30,-0.001,0.009,0.005,0.006,0.001,0.004,0.006,0.006,-0.02,0.002,,0.003
2019-10-31,-0.005,0.005,-0.001,-0.005,-0.011,-0.011,-0.001,-0.001,-0.004,-0.004,,-0.003
2019-11-01,0.015,-0.002,0,0.007,0.014,0.022,0.001,0.012,0.023,0.01,,0.009
2019-11-04,0.009,-0.013,-0.01,0,0.008,0.012,-0.003,0.005,0.033,0.005,,0.004
2019-11-05,0.004,-0.01,0.003,0.001,0.002,0.002,-0.007,-0.001,0.001,-0.001,,-0.001
2019-11-06,0.005,0.004,0.004,0.001,-0.001,0.001,0.003,0,-0.02,0,,0
2019-11-07,0.007,-0.014,-0.003,-0.006,0.007,0.003,0.002,0.008,0.015,0.002,,0.004
2019-11-08,0,-0.004,-0.001,0,0.004,0.001,0.007,0.006,-0.004,0.001,,0.002
